GEOID10,City,County,Density
90201,Bell,Los Angeles,0.373350961
90202,Bell Gardens,Los Angeles,0.328380653
90209,Beverly Hills,Los Angeles,0.06979915
90210,Beverly Hills,Los Angeles,0.552877494
90211,Beverly Hills,Los Angeles,0.63705226
90212,Beverly Hills,Los Angeles,0.872367651
90213,Beverly Hills,Los Angeles,0.986037539
90220,Compton,Los Angeles,0.412511265
90221,Compton,Los Angeles,0.792453072
90222,Compton,Los Angeles,0.136658657
90223,Compton,Los Angeles,0.902843693
90224,Compton,Los Angeles,0.137292068
90230,Culver City,Los Angeles,0.720635524
90231,Culver City,Los Angeles,0.53143807
90232,Culver City,Los Angeles,0.562935282
90233,Culver City,Los Angeles,0.023057719
90239,Downey,Los Angeles,0.678326001
90240,Downey,Los Angeles,0.07104409
90241,Downey,Los Angeles,0.719807067
90242,Downey,Los Angeles,0.064072357
90245,El Segundo,Los Angeles,0.672182236
90247,Gardena,Los Angeles,0.157683011
90248,Gardena,Los Angeles,0.77358155
90249,Gardena,Los Angeles,0.373545627
90250,Hawthorne,Los Angeles,0.729254665
90251,Hawthorne,Los Angeles,0.381185255
90254,Hermosa Beach,Los Angeles,0.300020731
90255,Huntington Park,Los Angeles,0.280471467
90260,Lawndale,Los Angeles,0.645823886
90261,Lawndale,Los Angeles,0.278702496
90262,Lynwood,Los Angeles,0.869636431
90263,Malibu,Los Angeles,0.287531195
90264,Malibu,Los Angeles,0.550650496
90265,Malibu,Los Angeles,0.450067232
90266,Manhattan Beach,Los Angeles,0.488653432
90267,Manhattan Beach,Los Angeles,0.314342346
90270,Maywood,Los Angeles,0.123044369
90272,Pacific Palisades,Los Angeles,0.046932197
90274,Palos Verdes Peninsula,Los Angeles,0.165224474
90275,Rancho Palos Verdes,Los Angeles,0.838774233
90277,Redondo Beach,Los Angeles,0.508219284
90278,Redondo Beach,Los Angeles,0.286004375
90280,South Gate,Los Angeles,0.440683602
90290,Topanga,Los Angeles,0.365397187
90291,Venice,Los Angeles,0.187214767
90292,Marina Del Rey,Los Angeles,0.251834579
90293,Playa Del Rey,Los Angeles,0.125732259
90294,Venice,Los Angeles,0.742989201
90295,Marina Del Rey,Los Angeles,0.959848158
90296,Playa Del Rey,Los Angeles,0.134865923
90301,Inglewood,Los Angeles,0.439628507
90302,Inglewood,Los Angeles,0.569761513
90303,Inglewood,Los Angeles,0.818306087
90304,Inglewood,Los Angeles,0.77865918
90305,Inglewood,Los Angeles,0.336854875
90306,Inglewood,Los Angeles,0.960332211
90307,Inglewood,Los Angeles,0.69183099
90308,Inglewood,Los Angeles,0.814263131
90309,Inglewood,Los Angeles,0.139436381
90310,Inglewood,Los Angeles,0.163999877
90311,Inglewood,Los Angeles,0.471792632
90312,Inglewood,Los Angeles,0.693215794
90313,Inglewood,Los Angeles,0.324832063
90397,Inglewood,Los Angeles,0.588215852
90398,Inglewood,Los Angeles,0.345210985
90401,Santa Monica,Los Angeles,0.646099034
90402,Santa Monica,Los Angeles,0.649936239
90403,Santa Monica,Los Angeles,0.219954002
90404,Santa Monica,Los Angeles,0.397550033
90405,Santa Monica,Los Angeles,0.329404487
90406,Santa Monica,Los Angeles,0.178539624
90407,Santa Monica,Los Angeles,0.950232
90408,Santa Monica,Los Angeles,0.400190795
90409,Santa Monica,Los Angeles,0.410468475
90410,Santa Monica,Los Angeles,0.198052033
90411,Santa Monica,Los Angeles,0.166832641
90501,Torrance,Los Angeles,0.361244191
90502,Torrance,Los Angeles,0.270190243
90503,Torrance,Los Angeles,0.073251196
90504,Torrance,Los Angeles,0.741636079
90505,Torrance,Los Angeles,0.429648203
90506,Torrance,Los Angeles,0.306109227
90507,Torrance,Los Angeles,0.26749667
90508,Torrance,Los Angeles,0.854852991
90509,Torrance,Los Angeles,0.682024743
90510,Torrance,Los Angeles,0.986679558
90601,Whittier,Los Angeles,0.855056507
90602,Whittier,Los Angeles,0.58543329
90603,Whittier,Los Angeles,0.353883406
90604,Whittier,Los Angeles,0.284592943
90605,Whittier,Los Angeles,0.515397926
90606,Whittier,Los Angeles,0.885788278
90607,Whittier,Los Angeles,0.612597209
90608,Whittier,Los Angeles,0.215427295
90609,Whittier,Los Angeles,0.154602609
90610,Whittier,Los Angeles,0.485798202
90612,Whittier,Los Angeles,0.803676236
90620,Buena Park,Orange,0.138552549
90621,Buena Park,Orange,0.535396319
90622,Buena Park,Orange,0.584721715
90623,La Palma,Orange,0.722032833
90624,Buena Park,Orange,0.562791394
90630,Cypress,Orange,0.380181815
90631,La Habra,Orange,0.734873305
90632,La Habra,Orange,0.266825083
90633,La Habra,Orange,0.563714385
90637,La Mirada,Los Angeles,0.998638854
90638,La Mirada,Los Angeles,0.549600371
90639,La Mirada,Los Angeles,0.37366141
90640,Montebello,Los Angeles,0.606707319
90650,Norwalk,Los Angeles,0.90351084
90651,Norwalk,Los Angeles,0.133495722
90652,Norwalk,Los Angeles,0.080183801
90659,Norwalk,Los Angeles,0.81243679
90660,Pico Rivera,Los Angeles,0.885985859
90661,Pico Rivera,Los Angeles,0.43325998
90662,Pico Rivera,Los Angeles,0.484835842
90670,Santa Fe Springs,Los Angeles,0.070682309
90671,Santa Fe Springs,Los Angeles,0.951400698
90680,Stanton,Orange,0.001200076
90701,Artesia,Los Angeles,0.58343188
90702,Artesia,Los Angeles,0.646983299
90703,Cerritos,Los Angeles,0.458880757
90704,Avalon,Los Angeles,0.595527371
90706,Bellflower,Los Angeles,0.494910236
90707,Bellflower,Los Angeles,0.927323583
90710,Harbor City,Los Angeles,0.414731636
90711,Lakewood,Los Angeles,0.352694616
90712,Lakewood,Los Angeles,0.620161044
90713,Lakewood,Los Angeles,0.863517883
90714,Lakewood,Los Angeles,0.0031094
90715,Lakewood,Los Angeles,0.480166311
90716,Hawaiian Gardens,Los Angeles,0.677687428
90717,Lomita,Los Angeles,0.165391052
90720,Los Alamitos,Orange,0.035626767
90721,Los Alamitos,Orange,0.745052422
90723,Paramount,Los Angeles,0.095848828
90731,San Pedro,Los Angeles,0.833548054
90732,San Pedro,Los Angeles,0.53085373
90733,San Pedro,Los Angeles,0.656457325
90734,San Pedro,Los Angeles,0.850575922
90740,Seal Beach,Orange,0.890980433
90742,Sunset Beach,Orange,0.266489632
90743,Surfside,Orange,0.321864339
90744,Wilmington,Los Angeles,0.148607766
90745,Carson,Los Angeles,0.050088536
90746,Carson,Los Angeles,0.964066725
90747,Carson,Los Angeles,0.597192434
90748,Wilmington,Los Angeles,0.282592218
90749,Carson,Los Angeles,0.986280905
90755,Signal Hill,Los Angeles,0.012085489
90801,Long Beach,Los Angeles,0.577701537
90802,Long Beach,Los Angeles,0.32229079
90803,Long Beach,Los Angeles,0.423409492
90804,Long Beach,Los Angeles,0.579509944
90805,Long Beach,Los Angeles,0.131995077
90806,Long Beach,Los Angeles,0.306459216
90807,Long Beach,Los Angeles,0.131326168
90808,Long Beach,Los Angeles,0.715515361
90809,Long Beach,Los Angeles,0.074310663
90810,Long Beach,Los Angeles,0.660447635
90813,Long Beach,Los Angeles,0.175812083
90814,Long Beach,Los Angeles,0.577793489
90815,Long Beach,Los Angeles,0.229336081
90822,Long Beach,Los Angeles,0.84517986
90831,Long Beach,Los Angeles,0.914781083
90832,Long Beach,Los Angeles,0.755087527
90833,Long Beach,Los Angeles,0.406630605
90834,Long Beach,Los Angeles,0.594071797
90835,Long Beach,Los Angeles,0.852069748
90840,Long Beach,Los Angeles,0.986505942
90842,Long Beach,Los Angeles,0.840655962
90844,Long Beach,Los Angeles,0.800061351
90845,Long Beach,Los Angeles,0.974360988
90846,Long Beach,Los Angeles,0.806445001
90847,Long Beach,Los Angeles,0.373233496
90848,Long Beach,Los Angeles,0.614115642
90853,Long Beach,Los Angeles,0.366868697
90888,Long Beach,Los Angeles,0.560296567
90895,Carson,Los Angeles,0.423672468
90899,Long Beach,Los Angeles,0.491896288
91001,Altadena,Los Angeles,0.133648778
91003,Altadena,Los Angeles,0.729182448
91006,Arcadia,Los Angeles,0.687200429
91007,Arcadia,Los Angeles,0.093011506
91009,Duarte,Los Angeles,0.141044034
91010,Duarte,Los Angeles,0.22592917
91011,La Canada Flintridge,Los Angeles,0.404522765
91012,La Canada Flintridge,Los Angeles,0.028225678
91016,Monrovia,Los Angeles,0.922406826
91017,Monrovia,Los Angeles,0.766911344
91020,Montrose,Los Angeles,0.975490451
91021,Montrose,Los Angeles,0.543124228
91023,Mount Wilson,Los Angeles,0.569617258
91024,Sierra Madre,Los Angeles,0.508800884
91025,Sierra Madre,Los Angeles,0.434744628
91030,South Pasadena,Los Angeles,0.631185692
91031,South Pasadena,Los Angeles,0.685756147
91040,Sunland,Los Angeles,0.025478146
91041,Sunland,Los Angeles,0.507190526
91042,Tujunga,Los Angeles,0.404838751
91043,Tujunga,Los Angeles,0.290356876
91046,Verdugo City,Los Angeles,0.041349379
91066,Arcadia,Los Angeles,0.576648237
91077,Arcadia,Los Angeles,0.844772184
91101,Pasadena,Los Angeles,0.606348821
91102,Pasadena,Los Angeles,0.663840245
91103,Pasadena,Los Angeles,0.605589772
91104,Pasadena,Los Angeles,0.188577548
91105,Pasadena,Los Angeles,0.260133777
91106,Pasadena,Los Angeles,0.700449508
91107,Pasadena,Los Angeles,0.006438349
91108,San Marino,Los Angeles,0.049195318
91109,Pasadena,Los Angeles,0.617334187
91110,Pasadena,Los Angeles,0.911319091
91114,Pasadena,Los Angeles,0.353299625
91115,Pasadena,Los Angeles,0.621237755
91116,Pasadena,Los Angeles,0.1876003
91117,Pasadena,Los Angeles,0.165503297
91118,San Marino,Los Angeles,0.946293292
91121,Pasadena,Los Angeles,0.387789324
91123,Pasadena,Los Angeles,0.623572473
91124,Pasadena,Los Angeles,0.720011235
91125,Pasadena,Los Angeles,0.904307707
91126,Pasadena,Los Angeles,0.693080489
91129,Pasadena,Los Angeles,0.554272965
91131,Pasadena,Los Angeles,0.477415298
91182,Pasadena,Los Angeles,0.152332975
91184,Pasadena,Los Angeles,0.44673192
91185,Pasadena,Los Angeles,0.204506402
91188,Pasadena,Los Angeles,0.786971773
91189,Pasadena,Los Angeles,0.887586016
91191,Pasadena,Los Angeles,0.642938408
91199,Pasadena,Los Angeles,0.750005537
91201,Glendale,Los Angeles,0.584240203
91202,Glendale,Los Angeles,0.430964466
91203,Glendale,Los Angeles,0.612033494
91204,Glendale,Los Angeles,0.599762297
91205,Glendale,Los Angeles,0.673660399
91206,Glendale,Los Angeles,0.431017555
91207,Glendale,Los Angeles,0.7195502
91208,Glendale,Los Angeles,0.724013798
91209,Glendale,Los Angeles,0.352327808
91210,Glendale,Los Angeles,0.24771249
91214,La Crescenta,Los Angeles,0.901697422
91221,Glendale,Los Angeles,0.977763906
91222,Glendale,Los Angeles,0.41039405
91224,La Crescenta,Los Angeles,0.251442569
91225,Glendale,Los Angeles,0.280179192
91226,Glendale,Los Angeles,0.054706196
91301,Agoura Hills,Los Angeles,0.391026062
91302,Calabasas,Los Angeles,0.632572312
91303,Canoga Park,Los Angeles,0.863895741
91304,Canoga Park,Los Angeles,0.931867912
91305,Canoga Park,Los Angeles,0.215522599
91306,Winnetka,Los Angeles,0.18432828
91307,West Hills,Los Angeles,0.041921179
91308,West Hills,Los Angeles,0.131719388
91309,Canoga Park,Los Angeles,0.33546791
91310,Castaic,Los Angeles,0.36487046
91311,Chatsworth,Los Angeles,0.360552907
91313,Chatsworth,Los Angeles,0.261414484
91316,Encino,Los Angeles,0.014301458
91319,Newbury Park,Ventura,0.530047419
91320,Newbury Park,Ventura,0.970023453
91321,Newhall,Los Angeles,0.51109832
91322,Newhall,Los Angeles,0.233479064
91324,Northridge,Los Angeles,0.977796297
91325,Northridge,Los Angeles,0.521948037
91326,Porter Ranch,Los Angeles,0.146764595
91327,Northridge,Los Angeles,0.753068477
91328,Northridge,Los Angeles,0.906647805
91329,Northridge,Los Angeles,0.665414154
91330,Northridge,Los Angeles,0.856212403
91331,Pacoima,Los Angeles,0.950286522
91333,Pacoima,Los Angeles,0.175532178
91334,Pacoima,Los Angeles,0.06686255
91335,Reseda,Los Angeles,0.932316449
91337,Reseda,Los Angeles,0.164974866
91340,San Fernando,Los Angeles,0.005196341
91341,San Fernando,Los Angeles,0.059184731
91342,Sylmar,Los Angeles,0.917329346
91343,North Hills,Los Angeles,0.947004122
91344,Granada Hills,Los Angeles,0.628061073
91345,Mission Hills,Los Angeles,0.107038036
91346,Mission Hills,Los Angeles,0.997312826
91350,Santa Clarita,Los Angeles,0.930649607
91351,Canyon Country,Los Angeles,0.487056231
91352,Sun Valley,Los Angeles,0.513670971
91353,Sun Valley,Los Angeles,0.041029242
91354,Valencia,Los Angeles,0.930002773
91355,Valencia,Los Angeles,0.178888523
91356,Tarzana,Los Angeles,0.468281669
91357,Tarzana,Los Angeles,0.143946474
91358,Thousand Oaks,Ventura,0.319093303
91359,Westlake Village,Ventura,0.850822702
91360,Thousand Oaks,Ventura,0.551011893
91361,Westlake Village,Ventura,0.425500815
91362,Thousand Oaks,Ventura,0.457247965
91363,Westlake Village,Los Angeles,0.42299239
91364,Woodland Hills,Los Angeles,0.421883849
91365,Woodland Hills,Los Angeles,0.766167186
91367,Woodland Hills,Los Angeles,0.456302692
91371,Woodland Hills,Los Angeles,0.407151858
91372,Calabasas,Los Angeles,0.156804413
91376,Agoura Hills,Los Angeles,0.470354728
91377,Oak Park,Ventura,0.075505709
91380,Santa Clarita,Los Angeles,0.497135669
91381,Stevenson Ranch,Los Angeles,0.503858863
91382,Santa Clarita,Los Angeles,0.451890394
91383,Santa Clarita,Los Angeles,0.66088727
91384,Castaic,Los Angeles,0.766177609
91385,Valencia,Los Angeles,0.106493755
91386,Canyon Country,Los Angeles,0.216741125
91387,Canyon Country,Los Angeles,0.543222698
91388,Van Nuys,Los Angeles,0.636164563
91390,Santa Clarita,Los Angeles,0.870150475
91392,Sylmar,Los Angeles,0.740088672
91393,North Hills,Los Angeles,0.879603277
91394,Granada Hills,Los Angeles,0.148792112
91395,Mission Hills,Los Angeles,0.613375348
91396,Winnetka,Los Angeles,0.066023398
91399,Woodland Hills,Los Angeles,0.458583679
91401,Van Nuys,Los Angeles,0.525597415
91402,Panorama City,Los Angeles,0.84359728
91403,Sherman Oaks,Los Angeles,0.139411398
91404,Van Nuys,Los Angeles,0.851429667
91405,Van Nuys,Los Angeles,0.889762568
91406,Van Nuys,Los Angeles,0.919505458
91407,Van Nuys,Los Angeles,0.427005905
91408,Van Nuys,Los Angeles,0.617060708
91409,Van Nuys,Los Angeles,0.839506962
91410,Van Nuys,Los Angeles,0.640696256
91411,Van Nuys,Los Angeles,0.917491096
91412,Panorama City,Los Angeles,0.856199995
91413,Sherman Oaks,Los Angeles,0.559800464
91416,Encino,Los Angeles,0.187714109
91423,Sherman Oaks,Los Angeles,0.831012758
91426,Encino,Los Angeles,0.510688872
91436,Encino,Los Angeles,0.760167692
91470,Van Nuys,Los Angeles,0.923616847
91482,Van Nuys,Los Angeles,0.925434932
91495,Sherman Oaks,Los Angeles,0.155496872
91496,Van Nuys,Los Angeles,0.161310501
91497,Van Nuys,Los Angeles,0.782230451
91499,Van Nuys,Los Angeles,0.415354652
91501,Burbank,Los Angeles,0.118624801
91502,Burbank,Los Angeles,0.616733199
91503,Burbank,Los Angeles,0.113938332
91504,Burbank,Los Angeles,0.403625221
91505,Burbank,Los Angeles,0.236655837
91506,Burbank,Los Angeles,0.515306297
91507,Burbank,Los Angeles,0.442693806
91508,Burbank,Los Angeles,0.649191854
91510,Burbank,Los Angeles,0.610188472
91521,Burbank,Los Angeles,0.94060427
91522,Burbank,Los Angeles,0.557598631
91523,Burbank,Los Angeles,0.137095974
91526,Burbank,Los Angeles,0.491674951
91601,North Hollywood,Los Angeles,0.379351074
91602,North Hollywood,Los Angeles,0.664844383
91603,North Hollywood,Los Angeles,0.109596845
91604,Studio City,Los Angeles,0.923688918
91605,North Hollywood,Los Angeles,0.550229507
91606,North Hollywood,Los Angeles,0.523858733
91607,Valley Village,Los Angeles,0.629297962
91608,Universal City,Los Angeles,0.057310054
91609,North Hollywood,Los Angeles,0.205286603
91610,Toluca Lake,Los Angeles,0.32000652
91611,North Hollywood,Los Angeles,0.037158985
91612,North Hollywood,Los Angeles,0.585368009
91614,Studio City,Los Angeles,0.842007137
91615,North Hollywood,Los Angeles,0.070376445
91616,North Hollywood,Los Angeles,0.826304275
91617,Valley Village,Los Angeles,0.828489911
91618,North Hollywood,Los Angeles,0.607801534
91701,Rancho Cucamonga,San Bernardino,0.534757111
91702,Azusa,Los Angeles,0.81364282
91706,Baldwin Park,Los Angeles,0.195642153
91708,Chino,San Bernardino,0.594811562
91709,Chino Hills,San Bernardino,0.438205849
91710,Chino,San Bernardino,0.61221568
91711,Claremont,Los Angeles,0.652201552
91714,City Of Industry,Los Angeles,0.096809702
91715,City Of Industry,Los Angeles,0.945952851
91716,City Of Industry,Los Angeles,0.461092105
91722,Covina,Los Angeles,0.721101531
91723,Covina,Los Angeles,0.834601083
91724,Covina,Los Angeles,0.396953928
91729,Rancho Cucamonga,San Bernardino,0.426681583
91730,Rancho Cucamonga,San Bernardino,0.797236404
91731,El Monte,Los Angeles,0.760774812
91732,El Monte,Los Angeles,0.774751596
91733,South El Monte,Los Angeles,0.700667938
91734,El Monte,Los Angeles,0.315676291
91735,El Monte,Los Angeles,0.933951984
91737,Rancho Cucamonga,San Bernardino,0.582580861
91739,Rancho Cucamonga,San Bernardino,0.632639397
91740,Glendora,Los Angeles,0.648351402
91741,Glendora,Los Angeles,0.012229744
91743,Guasti,San Bernardino,0.442554955
91744,La Puente,Los Angeles,0.559932231
91745,Hacienda Heights,Los Angeles,0.832627826
91746,La Puente,Los Angeles,0.988011629
91747,La Puente,Los Angeles,0.655249975
91748,Rowland Heights,Los Angeles,0.101617363
91749,La Puente,Los Angeles,0.557021509
91750,La Verne,Los Angeles,0.25485639
91752,Mira Loma,Riverside,0.812513336
91754,Monterey Park,Los Angeles,0.105964153
91755,Monterey Park,Los Angeles,0.774472764
91756,Monterey Park,Los Angeles,0.901712424
91758,Ontario,San Bernardino,0.549427044
91759,Mt Baldy,Los Angeles,0.737910764
91761,Ontario,San Bernardino,0.639020012
91762,Ontario,San Bernardino,0.216931325
91763,Montclair,San Bernardino,0.935707566
91764,Ontario,San Bernardino,0.829798453
91765,Diamond Bar,Los Angeles,0.395791911
91766,Pomona,Los Angeles,0.595905563
91767,Pomona,Los Angeles,0.729855109
91768,Pomona,Los Angeles,0.595790352
91769,Pomona,Los Angeles,0.448710938
91770,Rosemead,Los Angeles,0.90605247
91771,Rosemead,Los Angeles,0.425664
91772,Rosemead,Los Angeles,0.764887872
91773,San Dimas,Los Angeles,0.499249264
91775,San Gabriel,Los Angeles,0.336582081
91776,San Gabriel,Los Angeles,0.884464651
91778,San Gabriel,Los Angeles,0.10576986
91780,Temple City,Los Angeles,0.608204829
91784,Upland,San Bernardino,0.600653264
91785,Upland,San Bernardino,0.322034825
91786,Upland,San Bernardino,0.694856877
91788,Walnut,Los Angeles,0.194488505
91789,Walnut,Los Angeles,0.162106812
91790,West Covina,Los Angeles,0.961186641
91791,West Covina,Los Angeles,0.302775838
91792,West Covina,Los Angeles,0.846245362
91793,West Covina,Los Angeles,0.952230606
91795,Walnut,Los Angeles,0.010878178
91797,Pomona,Los Angeles,0.275407162
91798,Ontario,San Bernardino,0.804759413
91799,Pomona,Los Angeles,0.62448853
91801,Alhambra,Los Angeles,0.756916144
91802,Alhambra,Los Angeles,0.666769461
91803,Alhambra,Los Angeles,0.13571193
91804,Alhambra,Los Angeles,0.0990192
91841,Alhambra,Los Angeles,0.662688734
91896,Alhambra,Los Angeles,0.657032999
91899,Alhambra,Los Angeles,0.669735417
91901,Alpine,San Diego,0.328795334
91902,Bonita,San Diego,0.409075911
91903,Alpine,San Diego,0.714802872
91905,Boulevard,San Diego,0.087952091
91906,Campo,San Diego,0.218225766
91908,Bonita,San Diego,0.212136901
91909,Chula Vista,San Diego,0.268181921
91910,Chula Vista,San Diego,0.281871244
91911,Chula Vista,San Diego,0.759020469
91912,Chula Vista,San Diego,0.171222696
91913,Chula Vista,San Diego,0.962126371
91914,Chula Vista,San Diego,0.569345949
91915,Chula Vista,San Diego,0.321740527
91916,Descanso,San Diego,0.555446167
91917,Dulzura,San Diego,0.915401176
91921,Chula Vista,San Diego,0.954013622
91931,Guatay,San Diego,0.505623584
91932,Imperial Beach,San Diego,0.882138269
91933,Imperial Beach,San Diego,0.888140847
91934,Jacumba,San Diego,0.061541265
91935,Jamul,San Diego,0.531426724
91941,La Mesa,San Diego,0.101763955
91942,La Mesa,San Diego,0.541170226
91943,La Mesa,San Diego,0.083071605
91944,La Mesa,San Diego,0.080243183
91945,Lemon Grove,San Diego,0.223595177
91946,Lemon Grove,San Diego,0.462653395
91947,Lincoln Acres,San Diego,0.741783479
91948,Mount Laguna,San Diego,0.581189172
91950,National City,San Diego,0.973167317
91951,National City,San Diego,0.196674111
91962,Pine Valley,San Diego,0.033796096
91963,Potrero,San Diego,0.483123442
91976,Spring Valley,San Diego,0.778403626
91977,Spring Valley,San Diego,0.768755083
91978,Spring Valley,San Diego,0.558408415
91979,Spring Valley,San Diego,0.775339944
91980,Tecate,San Diego,0.268956639
91987,Tecate,San Diego,0.980722746
91990,Potrero,San Diego,0.791057465
92003,Bonsall,San Diego,0.439045293
92004,Borrego Springs,San Diego,0.853191532
92007,Cardiff By The Sea,San Diego,0.108973472
92008,Carlsbad,San Diego,0.946166512
92009,Carlsbad,San Diego,0.037271777
92010,Carlsbad,San Diego,0.51543357
92011,Carlsbad,San Diego,0.809561424
92013,Carlsbad,San Diego,0.054226836
92014,Del Mar,San Diego,0.009056904
92018,Carlsbad,San Diego,0.718833954
92019,El Cajon,San Diego,0.329449136
92020,El Cajon,San Diego,0.899812981
92021,El Cajon,San Diego,0.710589593
92022,El Cajon,San Diego,0.019507029
92023,Encinitas,San Diego,0.931918713
92024,Encinitas,San Diego,0.011019144
92025,Escondido,San Diego,0.554328319
92026,Escondido,San Diego,0.531103286
92027,Escondido,San Diego,0.113569387
92028,Fallbrook,San Diego,0.754430647
92029,Escondido,San Diego,0.2506748
92030,Escondido,San Diego,0.429470412
92033,Escondido,San Diego,0.295016697
92036,Julian,San Diego,0.722912751
92037,La Jolla,San Diego,0.848067462
92038,La Jolla,San Diego,0.768683601
92039,La Jolla,San Diego,0.25385952
92040,Lakeside,San Diego,0.894125481
92046,Escondido,San Diego,0.185134204
92049,Oceanside,San Diego,0.802295216
92051,Oceanside,San Diego,0.790242657
92052,Oceanside,San Diego,0.063169409
92054,Oceanside,San Diego,0.858641316
92055,Camp Pendleton,San Diego,0.714658054
92056,Oceanside,San Diego,0.068008635
92057,Oceanside,San Diego,0.091219233
92059,Pala,San Diego,0.957469469
92060,Palomar Mountain,San Diego,0.48558534
92061,Pauma Valley,San Diego,0.465067594
92064,Poway,San Diego,0.441901614
92065,Ramona,San Diego,0.06199727
92066,Ranchita,San Diego,0.317236157
92067,Rancho Santa Fe,San Diego,0.279927402
92068,San Luis Rey,San Diego,0.357968632
92069,San Marcos,San Diego,0.302206262
92070,Santa Ysabel,San Diego,0.839412156
92071,Santee,San Diego,0.966946375
92072,Santee,San Diego,0.629220683
92074,Poway,San Diego,0.432959021
