,PUBID,REGION,CENDIV,SQFT,PBA,YRCON,FREESTN,NELVTR,NESLTR,GLSSPC,OPEN24,WKHRS,NWKER,OPNWE,ONEACT,RFGEQP,ELHT1,ELCOOL,ELWATR,ELCOOK,ELMANU,ELCNS,YEAR,PBA_Detail
19,20,2,4,71000,2,1989,1.0,2.0,0.0,4.0,2.0,60.0,124.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,777843.0,2012,Office
20,21,4,8,67000,13,2008,1.0,0.0,0.0,1.0,2.0,84.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,524094.0,2012,Public assembly
21,22,3,6,2350,2,1955,1.0,0.0,0.0,2.0,2.0,40.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,24366.0,2012,Office
22,23,3,5,30000,13,1969,,0.0,0.0,,2.0,77.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,195864.0,2012,Public assembly
23,24,4,8,158000,16,1978,1.0,4.0,0.0,3.0,1.0,168.0,250.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3920837.0,2012,Inpatient health care
24,25,4,9,12500,5,1982,1.0,0.0,0.0,1.0,2.0,45.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,63654.0,2012,Nonrefrigerated warehouse
25,26,2,4,5600,8,1975,1.0,0.0,0.0,2.0,2.0,55.0,7.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,75103.0,2012,Outpatient health care
26,27,4,8,4800,25,995,1.0,0.0,0.0,2.0,1.0,168.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,13691.0,2012,Retail other than mall
27,28,3,5,395000,2,1994,1.0,8.0,0.0,5.0,2.0,66.0,1100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,9489502.0,2012,Office
28,29,1,1,250000,16,1950,1.0,6.0,0.0,4.0,1.0,168.0,950.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,9342427.0,2012,Inpatient health care
29,30,4,9,41500,14,1956,1.0,0.0,0.0,3.0,2.0,45.0,22.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,291595.0,2012,Education
30,31,2,3,1400000,16,1950,1.0,23.0,0.0,3.0,1.0,168.0,1000.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,21632527.0,2012,Inpatient health care
31,32,3,5,3000,25,1994,1.0,0.0,0.0,3.0,2.0,54.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,24158.0,2012,Retail other than mall
32,33,3,7,8300,23,2006,1.0,0.0,0.0,1.0,1.0,168.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,81335.0,2012,Strip shopping mall
33,34,1,1,19000,12,1985,1.0,0.0,0.0,3.0,2.0,20.0,19.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,103688.0,2012,Religious worship
34,35,3,6,81000,14,1963,1.0,0.0,0.0,2.0,2.0,45.0,40.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,496750.0,2012,Education
35,36,4,8,90000,2,2000,1.0,2.0,0.0,4.0,2.0,72.0,225.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,796225.0,2012,Office
36,37,2,3,5000,13,1969,1.0,0.0,0.0,4.0,2.0,63.0,7.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,37883.0,2012,Public assembly
37,38,2,3,9600,91,2008,1.0,0.0,0.0,1.0,2.0,50.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,57422.0,2012,Other
38,39,3,7,6000,1,995,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,,,,,,,,2012,Vacant
39,40,2,3,130000,18,2008,1.0,2.0,0.0,3.0,1.0,168.0,30.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1308083.0,2012,Lodging
40,41,3,6,5000,7,2010,1.0,0.0,0.0,2.0,1.0,168.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,90239.0,2012,Public order and safety
41,42,2,3,11250,25,995,,0.0,0.0,,2.0,49.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,9763.0,2012,Retail other than mall
42,43,1,2,92000,6,1998,1.0,0.0,0.0,2.0,1.0,168.0,65.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2655632.0,2012,Food sales
43,44,3,5,150000,2,1998,1.0,3.0,0.0,3.0,2.0,60.0,200.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3694850.0,2012,Office
44,45,4,9,20000,5,2006,1.0,0.0,0.0,1.0,2.0,40.0,20.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,28558.0,2012,Nonrefrigerated warehouse
45,46,3,5,5000,12,2004,1.0,0.0,0.0,1.0,2.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,14179.0,2012,Religious worship
46,47,3,7,142000,16,2007,1.0,0.0,0.0,3.0,1.0,168.0,300.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,4663922.0,2012,Inpatient health care
47,48,4,8,16250,25,2012,1.0,0.0,0.0,2.0,2.0,108.0,10.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,475600.0,2012,Retail other than mall
48,49,3,5,8500,15,1950,,0.0,0.0,,2.0,98.0,25.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,411314.0,2012,Food service
49,50,3,7,3800,2,2004,1.0,0.0,0.0,2.0,2.0,60.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,95451.0,2012,Office
50,51,4,8,166000,2,1981,1.0,3.0,0.0,3.0,2.0,60.0,60.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2025812.0,2012,Office
51,52,2,3,190000,5,1990,1.0,0.0,0.0,2.0,2.0,50.0,80.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,972303.0,2012,Nonrefrigerated warehouse
52,53,3,5,2850,15,2001,1.0,0.0,0.0,5.0,1.0,168.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,408837.0,2012,Food service
53,54,3,5,300000,16,1972,1.0,5.0,0.0,4.0,1.0,168.0,360.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,10239060.0,2012,Inpatient health care
54,55,4,9,10500,12,995,1.0,0.0,0.0,1.0,2.0,12.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,54008.0,2012,Religious worship
55,56,4,9,49500,14,1953,1.0,0.0,0.0,3.0,2.0,40.0,55.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,336954.0,2012,Education
56,57,3,7,2100,1,1984,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,,,,,,,,2012,Vacant
57,58,1,2,39500,5,1987,1.0,0.0,0.0,1.0,2.0,40.0,35.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,197630.0,2012,Nonrefrigerated warehouse
58,59,2,3,64000,13,1975,,0.0,0.0,,2.0,112.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,97304.0,2012,Public assembly
59,60,1,2,4000,25,1998,1.0,0.0,0.0,2.0,2.0,46.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,39989.0,2012,Retail other than mall
60,61,2,3,10750,25,2001,1.0,0.0,0.0,1.0,2.0,65.0,20.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,72676.0,2012,Retail other than mall
61,62,3,7,1550,14,1990,1.0,0.0,0.0,1.0,2.0,40.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,10588.0,2012,Education
62,63,4,9,53000,5,1993,1.0,0.0,0.0,1.0,1.0,168.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1206594.0,2012,Nonrefrigerated warehouse
63,64,1,1,15250,13,1996,1.0,0.0,0.0,2.0,2.0,80.0,7.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,273943.0,2012,Public assembly
64,65,4,9,2950,6,1958,1.0,0.0,0.0,2.0,2.0,105.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,102904.0,2012,Food sales
65,66,3,5,7200,26,2001,1.0,0.0,0.0,1.0,2.0,50.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,17567.0,2012,Service
66,67,3,7,21000,14,2008,1.0,0.0,0.0,1.0,2.0,40.0,16.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,107855.0,2012,Education
67,68,2,3,29500,12,2012,1.0,1.0,0.0,2.0,2.0,20.0,8.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,370596.0,2012,Religious worship
68,69,3,5,16500,2,1990,,1.0,0.0,,2.0,45.0,12.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,538329.0,2012,Office
69,70,4,9,5200,13,1988,1.0,0.0,0.0,3.0,2.0,50.0,8.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,69025.0,2012,Public assembly
70,71,4,9,1450,14,2000,1.0,0.0,0.0,3.0,2.0,60.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,13250.0,2012,Education
71,72,1,1,54000,16,1963,1.0,0.0,0.0,2.0,1.0,168.0,120.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2051409.0,2012,Inpatient health care
72,73,3,5,600000,5,2001,1.0,2.0,0.0,2.0,2.0,46.0,180.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3410418.0,2012,Nonrefrigerated warehouse
73,74,3,6,350000,16,2002,1.0,14.0,0.0,4.0,1.0,168.0,600.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,14196102.0,2012,Inpatient health care
74,75,2,4,1200,5,1979,1.0,0.0,0.0,2.0,2.0,5.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,16481.0,2012,Nonrefrigerated warehouse
75,76,1,2,1000000,2,1962,1.0,25.0,2.0,2.0,1.0,168.0,3500.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,22298032.0,2012,Office
76,77,4,8,2100,1,1995,1.0,0.0,0.0,2.0,2.0,40.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,18538.0,2012,Vacant
77,78,2,4,2400,5,995,,0.0,0.0,,1.0,168.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,14919.0,2012,Nonrefrigerated warehouse
78,79,3,7,900000,5,1982,1.0,0.0,0.0,1.0,1.0,168.0,350.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,14949422.0,2012,Nonrefrigerated warehouse
79,80,2,4,800000,2,1983,1.0,13.0,6.0,4.0,2.0,60.0,2374.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,13591670.0,2012,Office
80,81,2,3,48000,14,2002,1.0,1.0,0.0,3.0,2.0,90.0,37.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,598619.0,2012,Education
81,82,2,3,295000,2,2001,1.0,4.0,0.0,4.0,2.0,90.0,1200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3990800.0,2012,Office
82,83,4,9,84000,2,995,1.0,3.0,0.0,4.0,2.0,72.0,310.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,877540.0,2012,Office
83,84,4,9,1600,15,1969,1.0,0.0,0.0,1.0,2.0,84.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,49402.0,2012,Food service
84,85,3,5,7700,26,1969,1.0,0.0,0.0,3.0,2.0,45.0,12.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,4448.0,2012,Service
85,86,1,2,28000,25,1998,1.0,0.0,0.0,1.0,2.0,105.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,330586.0,2012,Retail other than mall
86,87,4,9,6300,2,2005,1.0,0.0,0.0,2.0,2.0,40.0,6.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,34410.0,2012,Office
87,88,3,5,7400,1,1965,1.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1245.0,2012,Vacant
88,89,3,5,3850,15,2006,1.0,0.0,0.0,2.0,2.0,85.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,263054.0,2012,Food service
89,90,3,5,9000,5,1986,1.0,0.0,0.0,1.0,2.0,60.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,16669.0,2012,Nonrefrigerated warehouse
90,91,3,5,3200,2,1988,1.0,0.0,0.0,4.0,2.0,50.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,9309.0,2012,Office
91,92,1,2,104000,14,2008,1.0,0.0,0.0,2.0,2.0,38.0,50.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,750329.0,2012,Education
92,93,3,7,2100,5,2004,1.0,0.0,0.0,1.0,2.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,48707.0,2012,Nonrefrigerated warehouse
93,94,2,4,2800,1,995,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,,,,,,,,2012,Vacant
94,95,4,8,285000,13,1986,1.0,3.0,0.0,1.0,2.0,90.0,75.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3302999.0,2012,Public assembly
95,96,1,2,55000,23,1981,1.0,0.0,0.0,3.0,1.0,168.0,54.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2148890.0,2012,Strip shopping mall
96,97,4,9,84000,6,2006,1.0,0.0,0.0,2.0,2.0,112.0,25.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2186094.0,2012,Food sales
97,98,3,7,1700,26,1960,1.0,0.0,0.0,1.0,2.0,45.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,15406.0,2012,Service
98,99,2,4,3500,25,995,,0.0,0.0,,2.0,46.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,29841.0,2012,Retail other than mall
99,100,2,3,4500,2,1999,1.0,0.0,0.0,4.0,2.0,40.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,34155.0,2012,Office
100,101,3,5,128000,5,1999,1.0,0.0,0.0,1.0,2.0,60.0,13.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1300482.0,2012,Nonrefrigerated warehouse
101,102,3,5,1250,5,2005,1.0,0.0,0.0,1.0,2.0,84.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,86822.0,2012,Nonrefrigerated warehouse
102,103,4,9,128000,4,1998,1.0,5.0,0.0,3.0,1.0,168.0,450.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,6984832.0,2012,Laboratory
103,104,4,9,1500,13,995,1.0,0.0,0.0,2.0,2.0,50.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,63993.0,2012,Public assembly
104,105,3,7,1250,5,1979,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2515.0,2012,Nonrefrigerated warehouse
105,106,2,4,42500,1,1989,1.0,0.0,0.0,4.0,2.0,65.0,15.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,75103.0,2012,Vacant
106,107,3,7,68000,5,1996,1.0,0.0,0.0,1.0,2.0,80.0,112.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,979600.0,2012,Nonrefrigerated warehouse
107,108,1,1,500001,2,995,,5.0,0.0,,2.0,60.0,500.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3058770.0,2012,Office
108,109,1,1,150000,16,1958,1.0,5.0,0.0,3.0,1.0,168.0,300.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3306447.0,2012,Inpatient health care
109,110,3,5,900000,2,1975,1.0,15.0,0.0,3.0,1.0,168.0,2000.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,13582776.0,2012,Office
110,111,4,9,20000,5,1952,1.0,0.0,0.0,3.0,2.0,40.0,15.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,124468.0,2012,Nonrefrigerated warehouse
111,112,2,3,15750,5,1970,,0.0,0.0,,2.0,60.0,20.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,51442.0,2012,Nonrefrigerated warehouse
112,113,1,1,10250,2,1964,1.0,0.0,0.0,2.0,2.0,40.0,14.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,153703.0,2012,Office
113,114,4,8,25000,18,2009,1.0,1.0,0.0,2.0,1.0,168.0,10.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,497379.0,2012,Lodging
114,115,4,9,53000,2,1991,,1.0,0.0,,2.0,66.0,150.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,698248.0,2012,Office
115,116,3,7,40000,18,1975,,0.0,0.0,,1.0,168.0,20.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,657506.0,2012,Lodging
116,117,3,7,1200,26,1962,1.0,0.0,0.0,3.0,2.0,40.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,17081.0,2012,Service
117,118,4,9,5000,14,2000,1.0,0.0,0.0,2.0,2.0,55.0,12.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,17860.0,2012,Education
118,119,4,8,3000,15,1959,1.0,0.0,0.0,1.0,2.0,50.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,60568.0,2012,Food service
119,120,3,5,126000,14,995,1.0,1.0,0.0,3.0,2.0,50.0,48.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,644926.0,2012,Education
120,121,3,7,186000,8,1992,,5.0,0.0,,2.0,45.0,150.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2715580.0,2012,Outpatient health care
121,122,3,5,19250,5,1981,,0.0,0.0,,2.0,55.0,20.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55267.0,2012,Nonrefrigerated warehouse
122,123,3,6,13000,12,1999,1.0,0.0,0.0,1.0,2.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,30038.0,2012,Religious worship
123,124,2,3,16000,12,1981,1.0,0.0,0.0,2.0,2.0,20.0,19.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,62447.0,2012,Religious worship
124,125,3,7,5000,14,2000,1.0,0.0,0.0,2.0,2.0,50.0,10.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,48721.0,2012,Education
125,126,4,8,11000,2,2005,1.0,0.0,0.0,3.0,2.0,50.0,11.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,77066.0,2012,Office
126,127,2,3,9900,2,1998,1.0,0.0,0.0,2.0,2.0,40.0,17.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,80499.0,2012,Office
127,128,3,5,150000,18,1983,1.0,5.0,0.0,3.0,1.0,168.0,30.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2085859.0,2012,Lodging
128,129,3,7,6500,25,2006,1.0,0.0,0.0,2.0,2.0,56.0,8.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,317140.0,2012,Retail other than mall
129,130,3,5,3500,2,2007,1.0,0.0,0.0,3.0,2.0,50.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,28361.0,2012,Office
130,131,4,9,50000,18,1985,1.0,1.0,0.0,3.0,1.0,168.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,131231.0,2012,Lodging
131,132,1,2,245000,2,1987,1.0,3.0,0.0,2.0,1.0,168.0,500.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,8695323.0,2012,Office
132,133,1,1,4400,14,995,1.0,0.0,0.0,3.0,2.0,56.0,12.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,8649.0,2012,Education
133,134,2,3,10001,12,995,1.0,1.0,0.0,2.0,2.0,72.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,44389.0,2012,Religious worship
134,135,2,3,3800,25,995,,0.0,0.0,,2.0,55.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,150963.0,2012,Retail other than mall
135,136,4,9,1200,2,995,,1.0,0.0,,2.0,40.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,12562.0,2012,Office
136,137,1,2,3600,5,1956,1.0,0.0,0.0,2.0,2.0,68.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,26431.0,2012,Nonrefrigerated warehouse
137,138,3,6,9000,15,1997,1.0,0.0,0.0,3.0,2.0,98.0,18.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,483347.0,2012,Food service
138,139,3,7,20500,13,1990,1.0,0.0,0.0,2.0,2.0,50.0,8.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,288381.0,2012,Public assembly
139,140,3,5,120000,5,2008,1.0,0.0,0.0,3.0,2.0,40.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,388326.0,2012,Nonrefrigerated warehouse
140,141,3,5,5300,2,1967,1.0,0.0,0.0,2.0,2.0,50.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,37755.0,2012,Office
141,142,3,7,5300,26,995,1.0,0.0,0.0,4.0,2.0,50.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,67747.0,2012,Service
142,143,3,6,9500,26,995,1.0,0.0,0.0,3.0,2.0,55.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,42526.0,2012,Service
143,144,2,3,4950,2,1975,1.0,0.0,0.0,2.0,2.0,44.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,22829.0,2012,Office
144,145,2,3,74000,18,1969,,1.0,0.0,,1.0,168.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1045795.0,2012,Lodging
145,146,1,2,36000,14,1969,1.0,1.0,0.0,2.0,2.0,40.0,43.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,377004.0,2012,Education
146,147,1,2,3100,2,995,1.0,0.0,0.0,2.0,1.0,168.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,11103.0,2012,Office
147,148,4,9,21750,17,995,1.0,0.0,0.0,5.0,1.0,168.0,60.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,197783.0,2012,Nursing
148,149,3,7,48000,14,1989,1.0,0.0,0.0,2.0,2.0,45.0,55.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,474411.0,2012,Education
149,150,3,5,11000,5,2004,1.0,0.0,0.0,1.0,2.0,105.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,180358.0,2012,Nonrefrigerated warehouse
150,151,4,9,3850,14,2002,1.0,0.0,0.0,1.0,2.0,35.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,23619.0,2012,Education
151,152,4,9,20000,2,1980,1.0,0.0,0.0,1.0,2.0,40.0,20.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,61214.0,2012,Office
152,153,3,6,900000,16,2007,1.0,995.0,2.0,3.0,1.0,168.0,500.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,28853362.0,2012,Inpatient health care
153,154,1,2,34000,13,1964,1.0,0.0,0.0,1.0,2.0,77.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,109404.0,2012,Public assembly
